Day,AnemoneID,Buoyant weight (g),Species,Net dry weight (g),Net ashed weight (g),Faeces Ash Free Dry Mass (g),Season,Year,Month,Ash Free Dry Mass of feaces (g) per (g) of Buoyant Weight,AnemoneAFDM (g),Ash Free Dry Mass faecesper (g) Ash Free Dry Mass,Boxcox
7,14,1.951,Isotealia antarctica,0.0426,0.0342,0.0084,Summer,2022,February,0.004305484,9.4208028,0.000457019,15.24014188
7,16,1.083,Urticinopsis antarctica,0.0216,0.0174,0.0042,Summer,2022,February,0.003878116,5.3040524,0.000731161,16.05793155
7,17,2.948,Urticinopsis antarctica,0.0193,0.0159,0.0034,Summer,2022,February,0.001153324,14.1493744,8.15E-05,29.44586626
7,18,1.849,Urticinopsis antarctica,0.0391,0.0307,0.0084,Summer,2022,February,0.004542996,8.9370372,0.000508334,14.83640988
7,19,0.864,Isotealia antarctica,0.0571,0.0456,0.0115,Summer,2022,February,0.013310185,4.2653792,0.003120516,8.667781482
7,20,0.971,Urticinopsis antarctica,0.1472,0.1161,0.0311,Summer,2022,February,0.032028836,4.7728588,0.006710619,5.587652924
7,22,0.813,Isotealia antarctica,0.0045,0.0033,0.0013,Summer,2022,February,0.001599016,4.0234964,0.00039742,25.00769105
7,23,0.991,Isotealia antarctica,0.0529,0.0424,0.0105,Summer,2022,February,0.010595358,4.8677148,0.00217666,9.714986072
7,24,1.265,Urticinopsis antarctica,0.014,0.01,0.004,Summer,2022,February,0.003162055,6.167242,0.000512718,17.78342019
7,25,1.205,Isotealia antarctica,0.0471,0.0383,0.0088,Summer,2022,February,0.007302905,5.882674,0.001241426,11.70178662
1,Y16,0.990057661,Urticinopsis antarctica,0.1475,0.1176,0.0299,Winter,2023,September,0.028675863,4.863245476,0.005896446,5.905297092
1,Y11,1.807601482,Isotealia antarctica,0.0334,0.0226,0.0108,Winter,2023,September,0.005232834,8.740692308,0.000598675,13.82392984
1,Y7,1.455211129,Urticinopsis antarctica,0.1512,0.1361,0.0151,Winter,2023,September,0.009299652,7.069375345,0.001315484,10.36971096
1,Y21,1.040279684,Urticinopsis antarctica,0.0323,0.0211,0.0112,Winter,2023,September,0.010131881,5.101438484,0.001986083,9.934704636
1,Y3,0.651908753,Isotealia antarctica,0.014,0.0042,0.0098,Winter,2023,September,0.015798719,3.259472832,0.004847017,7.955895364
1,G3,1.644920906,Isotealia antarctica,0.026,0.0199,0.0061,Winter,2023,September,0.003278362,7.969130874,0.000411383,17.46511889
1,G2,0.876104311,Isotealia antarctica,0.0067,0.0052,0.0015,Winter,2023,September,0.001666022,4.322787527,0.000385405,24.49963612
1,Y5,2.294752865,Isotealia antarctica,0.0575,0.0452,0.0123,Winter,2023,September,0.00460261,11.05115389,0.000416482,14.74001453
1,Y10,1.327920422,Urticinopsis antarctica,0.0138,0.0108,0.003,Winter,2023,September,0.002048178,6.465660976,0.000316778,22.0961267
1,Y20,0.975009945,Isotealia antarctica,0.0658,0.0412,0.0246,Winter,2023,September,0.02402596,4.791877166,0.005013893,6.451484009
1,G1,0.607017998,Urticinopsis antarctica,0.0943,0.0849,0.0094,Winter,2023,September,0.016659874,3.046564959,0.005468413,7.747545648
1,Y6,2.471055774,Urticinopsis antarctica,0.1168,0.0971,0.0197,Winter,2023,September,0.006810438,11.88732332,0.000572916,12.11748465
1,Y8,0.592107671,Urticinopsis antarctica,0.0068,0.0042,0.0026,Winter,2023,September,0.004765349,2.975848264,0.001601341,14.48613885
1,Y2,3.010021939,Urticinopsis antarctica,0.0834,0.0651,0.0183,Winter,2023,September,0.005132021,14.44353205,0.000355316,13.95904758
1,G6,3.982960377,Urticinopsis antarctica,0.7765,0.685,0.0915,Winter,2023,September,0.019137637,19.05798448,0.001004179,7.228627468
1,G4,1.249959289,Urticinopsis antarctica,0.065,0.0525,0.0125,Winter,2023,September,0.009141874,6.095906917,0.001499674,10.45881267
1,Y1,0.853877948,Urticinopsis antarctica,0.8477,0.7405,0.1072,Winter,2023,September,0.122853324,4.21737233,0.029130301,2.853031353
1,G5,1.492270253,Urticinopsis antarctica,0.0502,0.0289,0.0213,Winter,2023,September,0.012754432,7.245139356,0.001760412,8.854610023
1,Y13,3.203615247,Urticinopsis antarctica,0.09,0.0865,0.0035,Winter,2023,September,0.000919198,15.3617064,5.98E-05,32.98340327
