Day,AnemoneID,Buoyant weight (g),Species,Net dry weight (g),Net ashed weight (g),Faeces Ash Free Dry Mass (g),Season,Year,Month,Ash Free Dry Mass of feaces (g) per (g) of Buoyant Weight,AnemoneAFDM (g),Ash Free Dry Mass faecesper (g) Ash Free Dry Mass,Boxcox
6,Y10,1.327920422,Urticinopsis antarctica,0.044,0.0354,0.0086,Winter,2023,September,0.005871443,6.465660976,0.000908096,13.05051275
6,Y5,2.294752865,Isotealia antarctica,0.0122,0.009,0.0032,Winter,2023,September,0.001197427,11.05115389,0.000108353,28.8985117
6,Y21,1.040279684,Urticinopsis antarctica,0.004,0.0031,0.0009,Winter,2023,September,0.000814169,5.101438484,0.000159596,35.04634395
6,G5,1.492270253,Urticinopsis antarctica,0.0121,0.0085,0.0036,Winter,2023,September,0.002155679,7.245139356,0.000297535,21.53812804
6,Y8,0.592107671,Urticinopsis antarctica,0.0066,0.005,0.0016,Winter,2023,September,0.002932523,2.975848264,0.000985441,18.46627448
6,Y2,3.010021939,Urticinopsis antarctica,0.0139,0.0085,0.0054,Winter,2023,September,0.001514367,14.44353205,0.000104847,25.69711875
6,G4,1.249959289,Urticinopsis antarctica,0.0061,0.0043,0.0018,Winter,2023,September,0.00131643,6.095906917,0.000215953,27.56138988
6,Y13,3.203615247,Urticinopsis antarctica,0.0053,0.0038,0.0015,Winter,2023,September,0.000393942,15.3617064,2.56E-05,50.38298071
6,Y1,0.853877948,Urticinopsis antarctica,0.0081,0.0054,0.0027,Winter,2023,September,0.003094253,4.21737233,0.000733692,17.97720164
6,Y6,2.471055774,Urticinopsis antarctica,0.0601,0.0567,0.0034,Winter,2023,September,0.001175405,11.88732332,9.89E-05,29.16797191
6,G6,3.982960377,Urticinopsis antarctica,0.0347,0.0206,0.0141,Winter,2023,September,0.002949079,19.05798448,0.000154742,18.4143671
7,Y5,2.294752865,Isotealia antarctica,0.0235,0.0211,0.0024,Winter,2023,September,0.00089807,11.05115389,8.13E-05,33.36913166
7,G3,1.644920906,Isotealia antarctica,0.0208,0.0151,0.0057,Winter,2023,September,0.003063388,7.969130874,0.000384407,18.06753882
7,G1,0.607017998,Urticinopsis antarctica,0.0101,0.0078,0.0023,Winter,2023,September,0.004076352,3.046564959,0.001338016,15.66261095
7,Y10,1.327920422,Urticinopsis antarctica,0.0089,0.0072,0.0017,Winter,2023,September,0.001160634,6.465660976,0.000179507,29.35299061
7,Y7,1.455211129,Urticinopsis antarctica,0.0094,0,0.0094,Winter,2023,September,0.005789187,7.069375345,0.000818911,13.14290022
7,Y21,1.040279684,Urticinopsis antarctica,0.0047,0.0037,0.001,Winter,2023,September,0.000904632,5.101438484,0.000177329,33.24788524
7,Y3,0.651908753,Isotealia antarctica,0.0021,0.0004,0.0017,Winter,2023,September,0.002740594,3.259472832,0.000840809,19.10194757
7,Y2,3.010021939,Urticinopsis antarctica,0.2883,0.2317,0.0566,Winter,2023,September,0.015872807,14.44353205,0.001098956,7.937306157
7,Y6,2.471055774,Urticinopsis antarctica,0.1337,0.1061,0.0276,Winter,2023,September,0.009541527,11.88732332,0.000802664,10.23743266
7,Y1,0.853877948,Urticinopsis antarctica,0.068,0.0516,0.0164,Winter,2023,September,0.018794725,4.21737233,0.004456501,7.294272979
7,Y11,1.807601482,Isotealia antarctica,0.0065,0.005,0.0015,Winter,2023,September,0.000726783,8.740692308,8.31E-05,37.09348345
7,Y16,0.990057661,Urticinopsis antarctica,0.0505,0.0359,0.0146,Winter,2023,September,0.014002261,4.863245476,0.002879201,8.450860168
7,Y20,0.975009945,Isotealia antarctica,0.0039,0.0026,0.0013,Winter,2023,September,0.001269665,4.791877166,0.000264962,28.06437831
7,Y12,1.691655808,Urticinopsis antarctica,0.0176,0.0131,0.0045,Winter,2023,September,0.002344895,8.190785164,0.000286285,20.65086748
7,G2,0.876104311,Isotealia antarctica,0.0013,0.0007,0.0006,Winter,2023,September,0.000666409,4.322787527,0.000154162,38.73732017
